La,Ce,Pr,Nd,Sm,Y,Ca,Zr,Mg,Ni,Co,Al,Mn,Zn,Cr,Temp,cap,iziritsu,density,Pd80_04,Pd80_05
0.051305891,0.030718787,0.016965008,0.08684812,0.44818488,0.008261207,0.071901614,0.08566352,0.005991778,4.723850687,0.093615764,0.207374806,0.066617466,0.050809257,0.034799125,264.7077362,1.848698851,0.400114592,6.763789682,0.725236755,0.080984475
0.089184245,0.060474655,0.058996582,0.029439761,0.362242415,0.004799123,0.03443154,0.049907428,0.029855053,0.118934149,0.03098172,0.390787569,0.035801386,0.081846504,0.023594383,1829.056328,277.9629613,0.278000862,0.89386121,0.263684828,0.290354496
0.000747253,0.014389097,0.046083011,0.01446524,0.794905891,0.091094141,0.03832102,0.092330452,0.227780231,1.593982506,0.092593299,0.548354317,0.020118036,0.090223377,0.015024711,1038.600144,142.7379343,0.462837561,2.295036671,0.418614163,0.21283271
0.077828253,0.088227105,0.100132229,0.006135664,1.826408558,0.031999413,0.050638932,0.071026703,0.113042155,6.709978959,0.042068082,0.316686837,0.02106235,0.08735197,0.013227,1972.524874,495.878137,0.491725635,13.11082962,0.402336707,0.411958901
0.380449888,0.075358698,0.047449744,0.032913808,0.123223523,0.089441791,0.192040161,0.052162495,0.194314148,4.325252265,0.073908274,0.084906848,0.024370995,0.023094611,0.089920171,751.5729564,130.061432,0.779889042,0.525916838,0.666352572,0.897621486
0.521495852,0.006030519,0.016763362,0.082183436,0.331921631,0.071260253,0.907641665,0.091227167,0.093014775,1.235225939,0.015258511,0.0063254,0.094566724,0.05086328,0.090852056,464.0785984,416.7337944,0.705864399,3.939581799,0.418884577,0.32278994
0.127399643,0.05300982,0.050696992,0.009324478,0.018689482,0.031935469,0.391174698,0.001834046,0.137455622,2.895560551,0.094727627,0.005636109,0.008686693,0.055969374,0.017649891,1667.949006,91.92990161,1.080633076,10.15202877,0.78152201,0.311567525
0.24792424,0.082566061,0.020183717,0.089300133,0.062001308,0.035839921,0.083587124,0.004725879,0.130800888,2.304357761,0.055888513,0.037729334,0.083066424,0.08919375,0.04135694,371.27144,47.6861325,1.324972493,4.815717224,0.064860755,0.164332731
0.495471184,0.015852583,0.081915619,0.013546878,0.463464073,0.017407581,0.091967451,0.053560799,0.371099673,6.316363311,0.027543844,0.214171342,0.022484852,0.012077202,0.013647926,1596.02939,7.21534823,0.50835345,8.634692977,0.146154063,0.176951205
0.915397396,0.059073652,0.029223566,0.012318681,0.143295302,0.012823204,0.032535523,0.096033117,0.359182519,1.176906603,0.02219127,0.073868158,0.045236274,0.018971495,0.028507672,771.5111151,102.4492323,0.93389043,12.62616298,0.040894934,0.258011376
0.155727882,0.014825422,0.00498119,0.084292664,0.007580069,0.097671101,0.396638786,0.075504117,0.259386503,4.442001903,0.04683843,0.045013792,0.045824951,0.090325661,0.006677864,1478.37556,778.1226765,1.31659688,7.706428735,0.328608874,0.470075238
0.021726501,0.06103486,0.682777123,0.026105134,0.049517198,0.079147559,0.099933367,0.07712646,0.281591392,4.482625498,0.053827924,0.064118998,0.004295221,0.090679958,0.095176709,1048.213301,691.553026,1.705163604,3.031189982,0.105513852,0.510442257
0.134520157,0.076820597,0.027870237,0.036960497,0.256173379,0.006142605,0.036921982,0.046367506,0.15734377,5.798778796,0.034561249,0.088207812,0.069479832,0.087821815,0.035268372,227.3452656,451.2472905,1.456817596,5.229789907,0.071006504,0.087648591
0.015542461,0.095426511,0.04411978,0.023490177,0.980949176,0.092115137,0.026534883,0.096659294,0.093589301,5.469943993,0.024021914,0.268943909,0.021068196,0.079625616,0.096930625,1197.630291,578.8145655,0.186710626,5.856009293,0.328035863,0.811271552
0.727328257,0.015971023,0.067993734,0.056622145,0.052315764,0.000750992,0.046865245,0.065079775,0.249110212,0.434412574,0.057839362,0.207168054,0.031335811,0.048076403,0.04781311,893.9048595,608.8257922,1.400119247,11.82539867,0.045645192,0.163483926
0.645193573,0.03408371,0.040473895,0.00466628,0.100962441,0.04988688,0.057744716,0.078787277,0.493991805,0.896257424,0.071184168,0.040299685,6.73293E-05,0.064199447,0.008972127,509.6411896,395.1452893,0.194231775,11.25689993,0.120084909,0.118139587
0.325691649,0.005091816,0.088755236,0.036071055,0.403907022,0.060590745,0.084695982,0.111341903,0.373518256,4.252952302,0.024031745,0.096552563,0.023070915,0.039181914,0.086577776,101.5099776,634.077343,1.088560387,6.956860637,0.051784411,0.075994136
0.331329861,0.084494316,0.095132281,0.592492526,0.586265588,0.036430874,0.050868406,0.036490375,0.089916925,1.973227652,0.047923585,0.056445409,0.003131166,0.026542971,0.046313978,1885.57521,429.2607991,1.537201778,3.197356111,0.134820072,0.059223053
0.343113407,0.0766633,0.0548299,0.098919779,0.072061295,0.034635156,0.005224684,0.053147866,0.596882156,0.602157466,0.062876185,0.013521109,0.080532815,0.125285924,0.056130247,974.0699303,430.9475,1.185570564,6.957942262,0.140935167,0.141642396
0.565943056,0.004485965,0.049858533,0.153521867,0.095279854,0.033219679,0.139276352,0.004908001,0.304456382,1.449418736,0.03825426,0.055317974,0.062591236,0.097146005,0.015159179,1570.56673,680.8692367,1.145144149,3.703532272,0.436678279,0.12062716
0.177903518,0.028063722,0.003889872,0.058445987,1.031602019,0.025361734,0.087089491,0.037248232,0.18024369,1.299956931,0.052256827,0.304606728,0.043911898,0.000315204,0.078294306,723.192895,98.79220188,0.275300685,5.291981738,0.11331177,0.412125101
0.511473836,0.098491303,0.02002782,0.048545115,0.078709241,0.048413021,0.094683661,0.058475459,0.301430214,4.188690818,0.098231538,0.067719179,0.01603783,0.084109008,0.07356042,1008.279429,116.7512124,1.013806297,12.95907819,0.101026367,0.116029782
0.239880861,0.035113322,0.005995585,0.041097081,0.057333313,0.095386329,0.040277965,0.031844189,0.352184056,4.873021132,0.078639706,0.217619891,0.02273177,0.015201401,0.095815507,852.0991759,121.2769697,1.736243369,5.028155205,0.245567083,0.16076965
0.003899418,0.015318475,0.047877575,0.542541284,0.064253303,0.060262699,0.170718057,0.099558381,0.130310373,5.776168043,0.087311711,0.068528857,0.034095643,0.015557328,0.074263236,106.1715629,47.49704219,1.656330607,14.08772147,0.139257192,0.32513201
0.073668337,0.061757315,0.097228003,0.183308927,0.022193228,0.010141954,0.024541575,0.037105551,0.057316684,0.279405221,0.039525704,0.325781078,0.094936528,0.070016384,0.07222407,2082.622967,383.8925786,1.347797436,9.386308584,0.246301862,0.269626153
0.090794611,0.066143418,0.050610989,0.348578982,0.079039158,0.007654044,0.500158273,0.047375081,0.407335139,6.039875131,0.098121601,0.061562354,0.074706952,0.056971124,0.021497711,915.6619966,446.117015,1.06193597,14.17063226,0.075440525,0.330043868
0.320811437,0.076662418,0.01121654,0.087389166,0.276184018,0.022989339,0.109196654,0.00863171,0.438557138,6.995269492,0.01062525,0.092136845,0.036105243,0.002266839,0.056297989,280.8204781,424.319518,1.129433005,1.461796095,0.227706881,0.323330366
0.801260622,0.070137514,0.059556652,0.032337877,0.017168776,0.073617787,0.210961738,0.053660057,0.327250911,1.639052592,0.056642181,0.060591331,0.001996282,0.018798955,0.025768298,556.6410579,574.8833046,0.115797905,15.47675759,0.140644911,0.156344071
0.415868537,0.011918158,0.048365659,0.12024502,0.07759847,0.022200565,0.011514728,0.056338106,0.161546158,5.255921924,0.021357213,0.387795109,0.066921294,0.072667956,0.058217232,584.4893218,465.799905,0.756774517,1.879951762,0.15584629,0.090115318
0.398631797,0.086246519,0.051609867,0.022229267,0.043638538,0.05637929,0.008548384,0.068362939,0.570915229,1.618540154,0.07240913,0.017201188,0.098991361,0.010166098,0.065061912,1128.513005,128.188181,0.959699553,1.53535561,0.137117053,0.251182151
0.362258946,0.003828354,0.068625442,0.014900956,0.298145425,0.043500489,0.062814713,0.029729997,0.315335497,1.310825779,0.094842681,0.039226703,0.004219547,0.041480613,0.076665149,1459.215523,674.5913817,0.764045593,13.80407146,0.088167322,0.138467763
0.260536364,0.073924203,0.052478242,0.022412533,0.57723818,0.041669224,0.245715871,0.039086847,0.202250912,4.40287321,0.046795209,0.003203685,0.046247411,0.076574609,0.019634662,776.3653874,268.1582566,0.513301524,9.680152774,0.411965027,0.677231238
0.014911568,0.009265355,0.025027409,0.667482151,0.07114053,0.09826365,0.410015911,0.060006436,0.194072404,5.61546189,0.00249738,0.003079235,0.061675323,0.078204878,0.009960731,1974.687263,94.66934906,1.821086556,9.38954295,0.047034687,0.122862384
1.219619245,0.019153477,0.048902425,0.100072323,0.182248703,0.041283677,0.068485929,0.075936629,0.353110021,5.048815414,0.038093932,0.027603605,0.03059046,0.053570226,0.023552414,463.0766067,16.56245828,0.720297838,12.56119232,0.136486343,0.157852511
0.03928067,0.006672178,0.47456979,0.028101418,0.099696103,0.068458353,0.18917217,0.047990814,0.229703968,0.566396413,0.049216774,0.028245412,0.062010104,0.031104903,0.038697034,2080.188567,580.5584932,1.944852575,0.126895277,0.107967432,0.617134992
0.095921493,0.099705062,0.081557461,0.010260747,0.507472064,0.08216543,0.034043432,0.038268863,0.016370741,0.776095395,0.065407989,0.493121895,0.036705945,0.012559087,0.041757461,709.8431898,459.5181935,1.748299034,5.921995039,0.246828842,0.100749684
0.053238245,0.091024375,0.066891025,0.068679161,0.591547827,0.075436635,0.070299789,0.063429947,0.136757762,4.583920375,0.090955714,0.040453543,0.035385793,0.007718243,0.007060171,1465.781976,38.80252423,1.541358496,2.789960356,0.461412244,0.08247565
0.136844122,0.011663992,0.063114225,0.915275216,0.028539769,0.097504899,0.403163283,0.044657425,0.275118347,5.53045144,0.003826242,0.077770097,0.070212551,0.013372981,0.058886124,1588.274316,520.177853,1.097580317,13.45424645,0.375499464,0.268450428
0.507231792,0.019913483,0.013923813,0.031029707,0.02367194,0.051473594,0.130798056,0.082201146,0.494253341,2.657558429,0.040334773,0.072642125,0.062069448,0.055102499,0.062370066,210.7592492,563.2196895,1.301362967,3.708730703,0.088255085,0.030301309
0.049286201,0.031276072,0.066928629,0.042498057,0.389079596,0.016370475,0.089464124,0.017845431,0.046282608,5.244856995,0.051634189,0.087814819,0.097421643,0.019041863,0.089274119,1271.528069,84.78334486,0.90085097,10.49684947,0.425197555,0.553820386
0.102530872,0.044814418,0.082466562,0.056237833,0.009296206,0.07566274,0.053916014,0.056021485,0.536119324,5.254275725,0.042981374,0.06564957,0.022345501,0.075694407,0.051620429,291.1981379,639.4779512,1.160065433,3.245960071,0.042679486,0.027887253
0.100235045,0.027027135,0.070740393,1.025653602,0.023781741,0.062068386,0.445492963,0.015320374,0.328702508,4.620125277,0.03471753,0.038181985,0.065683003,0.065852978,0.021207682,811.3732515,47.19202463,1.442470156,12.40276125,0.500214626,0.518025373
0.27830381,0.060816074,0.070499045,0.034350976,0.074402747,0.012422721,0.334702939,0.071651295,0.191038818,6.114105449,0.090604468,0.10765869,0.049030992,0.066600702,0.054937587,157.6622786,758.1930311,0.013872806,6.704365825,0.151991096,0.076713967
0.096894338,0.083872098,1.397696203,0.012596008,0.028782636,0.05942813,0.21865087,0.017595193,0.258688791,3.934952111,0.077132904,0.000187772,0.109804195,0.039552519,0.012553521,287.7886792,190.2872346,1.559163219,4.74741155,0.015795991,0.508533167
0.381052343,0.02781934,0.10043169,0.090789854,0.61881869,0.081727401,0.012996222,0.048546569,0.067909345,3.253499252,0.024142406,0.244152703,0.06431853,0.043378137,0.061692912,417.5982537,527.0386644,1.650145534,13.31475872,0.044120816,0.219413485
1.161784436,0.050503932,0.060817262,0.087802391,0.003545227,0.06268437,0.276785554,0.002285009,0.242519589,3.239106108,0.070028144,0.025759335,0.045498887,0.045844901,0.045247003,472.4747609,528.8343415,1.669903999,14.98546246,0.228486489,0.100128553
0.611232448,0.052166851,0.038947144,0.028232813,0.037602656,0.069367514,0.019533176,0.033966316,0.342533723,5.696267174,0.025261427,0.062632663,0.045590582,0.056704924,0.08106477,1419.214517,111.0708227,0.355476703,6.578456776,0.022280941,0.063097245
0.210277701,0.011526968,0.024254297,0.080694221,0.038194063,0.050040391,0.07370977,0.068444964,0.098884395,6.696867291,0.014213427,0.075808968,0.072191772,0.069051034,0.05595229,794.8172471,717.7778708,0.834127795,9.014263045,0.144202214,0.048718619
0.063170116,0.04173325,0.018934138,0.099522659,0.050059736,0.040167457,0.028702607,0.088125766,0.255918952,1.219763226,0.098912459,0.059684778,0.023787691,0.060052414,0.002800664,603.328213,453.362902,1.566461729,1.266625527,0.24934626,0.194671668
0.523504865,0.09165991,0.051949964,0.053598411,0.188615895,0.080839927,0.053891576,0.01723875,0.321335193,3.819852691,0.038075828,0.062543515,0.072397068,0.057110457,0.060878783,1247.300161,322.0412233,0.823971518,5.013720896,0.089278188,0.075644122
0.547388767,0.032167748,0.032126631,0.056519143,0.355951165,0.097552018,0.424570192,0.048926091,0.499260805,4.022002989,0.063295554,0.046708926,0.01212733,0.075878089,0.029159029,2046.253621,208.7444401,0.866016779,11.31941188,0.133445109,0.279297955
0.021646229,0.019852411,0.022774602,0.067953669,0.278843348,0.011118749,0.029748207,0.016774616,0.266506686,6.705685535,0.003406712,0.135104721,0.035101871,0.019921409,0.026304787,1375.237822,148.8729884,1.812388011,7.239885839,0.071908394,0.066051155
0.059210404,0.082489127,0.02534061,0.419688825,0.097821365,0.033256971,0.11720323,0.017491137,0.294358114,0.181078522,0.021816835,0.030336797,0.098924782,0.005584748,0.050610624,2008.938385,118.817581,0.496284195,14.86833175,0.300694775,0.669070691
0.595244906,0.074711477,0.008127272,0.021434806,0.055386543,0.087482467,0.013494724,0.059308988,0.318890868,0.819572543,0.062467989,0.042553156,0.094734919,0.054178804,0.062712394,26.05280921,565.8576847,1.29740021,9.14809741,0.071559615,0.226822142
0.085843872,0.077116837,0.563335862,0.039497014,0.074915096,0.092068804,0.240364078,0.002425815,0.218231338,2.227974653,0.07879559,0.002070352,0.069547234,0.038824985,0.002499884,1698.48798,286.0893421,0.441497307,14.38923137,0.415691035,0.151349792
0.692420543,0.080850815,0.049837474,0.078536329,0.062528928,0.051148794,0.794771577,0.036089718,0.046013912,4.588405155,0.098843883,0.015144047,0.093058735,0.028106094,0.04284458,1996.379433,568.6805262,0.907484969,10.68334163,0.142336377,0.398325965
0.03024652,0.051568755,0.054416499,0.020862032,0.079745122,0.022248906,0.907765543,0.033619611,0.115264047,3.92729437,0.085698208,0.039642144,0.001951108,0.039056018,0.020663153,1115.610834,251.3309878,0.180605973,10.17134026,0.037013566,0.173452819
0.385042391,0.027689478,0.031190988,0.032398354,1.4896126,0.043015787,0.04906236,0.087073726,0.14260262,3.147278434,0.085154038,0.031018345,0.048475337,0.091061643,0.073399663,1494.695988,337.8659695,0.525144321,15.52334263,0.206379484,0.073166128
0.747872406,0.012850749,0.00230929,0.054297163,0.556615848,0.014587521,0.059615083,0.049434253,0.074115605,0.623723855,0.050533035,0.086414825,0.012785877,0.026245015,0.044979617,703.6187106,190.4002273,1.195298272,11.18827506,0.10750705,0.118161988
0.093735293,0.00162988,0.029592721,0.081427947,1.899618821,0.063256199,0.075242843,0.044191107,0.012521869,5.677248723,0.00844956,0.183090472,0.025620286,0.069034367,0.032682919,216.4966848,557.5908739,1.315608536,6.954453439,0.144116112,0.083025311
0.536014885,0.095727886,0.023007203,0.092642108,0.071489104,0.095923128,0.193685453,0.042271898,0.420023062,5.933832863,0.080354114,0.020652798,0.015607821,0.047729372,0.082175913,290.3225487,67.65807408,0.052051982,3.342288518,0.045413338,0.384202714
0.54046486,0.007302408,0.098491168,0.148718899,0.050374063,0.094989024,0.074271467,0.041816503,0.111567559,2.361720664,0.019184881,0.402916724,0.027351626,0.072495256,0.050222629,1858.964539,655.1284675,0.097279923,10.4001104,0.100988738,0.120237089
0.238374978,0.019063467,0.001403322,0.138511592,0.086687423,0.060748006,0.420547563,0.018462664,0.364912174,5.389638504,0.009855185,0.064457983,0.070746792,0.05853468,0.026104159,57.48182028,631.5187199,0.482366938,12.3627046,0.250019087,0.095960207
0.224855085,0.006108666,0.000764185,0.047506079,0.3159197,0.047256965,0.263968408,0.006830984,0.331028879,1.770882141,0.020819585,0.074768116,0.026951747,0.05309798,0.069207568,1149.422564,375.1791319,1.778700816,15.39788071,0.682850748,0.325111709
0.172962135,0.023306021,0.094875726,0.014201337,1.020119815,0.018534621,0.099274578,0.060951588,0.099514382,5.068640006,0.001009642,0.174074611,0.039581574,0.098784132,0.070069352,1030.753035,405.5735993,1.161672004,7.738236941,0.143565055,0.784336808
0.180877111,0.09443649,0.093948311,0.068010232,0.326250293,0.040400398,0.068622628,0.025227719,0.076800253,6.221835938,0.045512247,0.389803453,0.015018322,0.073453997,0.089585562,778.2749281,200.1730161,1.004208359,3.24495368,0.072274589,0.37790295
0.392663337,0.037252443,0.013993881,0.085437151,0.337722955,0.015775153,0.079118296,0.072012904,0.049590113,2.581243755,0.059522391,0.184576651,0.052378802,0.009324502,0.004497075,2049.127038,282.0485785,0.446782624,11.49982243,0.076327146,0.229346294
0.043297859,0.069387061,0.003421159,0.001441007,0.949990807,0.04419743,0.005390984,0.047917376,0.051595379,1.694416303,0.015657034,0.193726777,0.064674676,0.030237629,0.028586297,1222.494647,424.0049512,0.74229532,17.43890546,0.207161922,0.533261961
0.490560181,0.081117483,0.040052771,0.05044271,0.520503463,0.002979159,0.034054951,0.046313503,0.328453433,3.969191803,0.06240922,0.122206648,0.048857116,0.099842082,0.070553329,1110.101607,464.1438195,1.64112063,4.827790904,0.099680591,0.148658252
0.084855614,0.075454829,0.010487047,0.058888714,0.61896894,0.01255159,0.044521579,0.082291466,0.01540801,6.51874752,0.024694675,0.283896984,0.031188008,0.047690989,0.061908476,1239.381587,453.4328332,0.33098606,17.39446128,0.162561145,0.973421539
0.930402631,0.018230137,0.099708548,0.080893266,0.075522445,0.054821352,0.017575196,0.005761646,0.111241071,4.25451648,0.033890228,0.125354769,0.065215232,0.075984427,0.055817533,19.80205988,382.8785456,0.447863609,1.727588903,0.073651361,0.066496822
0.380106678,0.055655253,0.075235262,0.043652434,0.509534271,0.025400311,0.001730253,0.087722523,0.114916578,5.955483357,0.038425157,0.263479948,0.05252466,0.047073369,0.06457637,1080.902466,126.5480234,1.007955505,15.68085703,0.311994151,0.342228063
0.283239287,0.047423253,0.081716971,0.090223499,0.02264796,0.019827942,0.096635732,0.050101113,0.391102827,5.518208034,0.087589148,0.064889779,0.024011698,0.039023963,0.060120645,69.70463174,84.8730675,0.76401135,4.859054283,0.037906191,0.049463445
0.093254332,0.075442007,0.010184263,0.075464677,0.372092137,0.089282932,0.09327037,0.055526864,0.025951135,1.187331238,0.096381872,0.098781249,0.007684006,0.011177809,0.021570921,1753.971319,51.87609922,1.002642688,3.012942317,0.534435235,1.184608016
0.409712355,0.049513429,0.0008416,0.083557093,0.814796696,0.079868671,0.093564475,0.075454196,0.203025227,6.625417747,0.09650769,0.128679776,0.016575601,0.073336247,0.0802242,97.95978683,139.3685784,0.690567089,17.02377015,0.302189612,0.552009833
0.694676509,0.063032027,0.020148404,0.036877593,0.095459922,0.001989575,0.487385885,0.005168318,0.497829908,2.155684958,0.014127359,0.022106371,0.039991321,0.018312001,0.046785934,1211.5152,453.8062426,0.167092801,7.398880162,0.129152599,0.276220367
0.074091642,0.066370018,0.019152883,0.01066088,0.148138711,0.040224897,0.004204104,0.069121287,0.074889444,0.565236829,0.047071544,0.465279999,0.004742837,0.043594439,0.028776455,1249.182792,143.8186343,1.598339833,6.976448938,0.388875926,0.420503007
0.401980093,0.065935945,0.07869485,0.057843479,0.404725483,0.039911881,0.093641412,0.067517916,0.245755488,1.553979472,0.072558039,0.216930011,0.020556011,0.037817312,0.044011196,786.9703304,109.5712361,1.222900528,14.9174721,0.151305975,0.077210356
0.263524272,0.098738435,0.025724673,0.039407522,0.79213735,0.012789786,0.208093378,0.049362524,0.234201579,2.846488043,0.030250917,0.019325989,0.022582563,0.032683229,0.092583093,267.2267157,323.4443057,0.066964105,13.35432506,0.481469183,0.290366634
